UPC,Book Title,Genre,Price,Availability,Star Rating
d30b9215c72cca87,Wild: From Lost to Found on the Pacific Crest Trail,Default,46.02,3,3
4266f48a0aa1c37d,The Maze Runner (The Maze Runner #1),Default,20.93,3,1
e6af5bf1163c1151,Soul Reader,Default,39.58,16,2
bb967277222e689c,Adultery,Default,20.88,11,5
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,19,4
708345c9897fd7c5,Lady Midnight (The Dark Artifices #1),Default,16.28,14,5
29c0025455f8c585,Eureka Trivia 6.0,Default,54.59,15,4
c8614adb1a90b027,The Name of the Wind (The Kingkiller Chronicle #1),Default,50.59,1,3
c57d3c96af23c297,Shopaholic & Baby (Shopaholic #5),Default,46.45,3,2
76c84daa539426e2,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Default,45.95,14,2
ac5e0d3938caf686,"The Three Searches, Meaning, and the Story",Default,13.33,13,3
e656e280bc8edd56,Romero and Juliet: A Tragic Tale of Love and Zombies,Default,36.94,15,1
a492f49a3e2b6a71,Frankenstein,Default,38.0,1,2
ffd54178acc9a6a5,Amatus,Default,50.54,15,5
d163dd6c352fbcd2,Grumbles,Default,22.16,15,2
e7469e22b5bfb3e7,The Art of War,Default,33.34,15,5
034829ffdd0a0aea,Is Everyone Hanging Out Without Me? (And Other Concerns),Default,20.11,3,3
3661360c99719414,The Fault in Our Stars,Default,47.22,5,1
95019eac1c0a052f,Steve Jobs,Default,39.5,14,5
8378c899988905ee,Orange Is the New Black,Default,24.61,3,2
4be9d1910f8a4e80,13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,27.06,13,1
81372abc86f65c79,Disrupted: My Misadventure in the Start-Up Bubble,Nonfiction,15.28,3,5
4e78f06160b717ac,Finding God in the Ruins: How God Redeems Pain,Nonfiction,46.64,7,2
c6a29d6df8de968c,Furiously Happy: A Funny Book About Horrible Things,Nonfiction,41.46,12,4
52fc458ffc756faf,Rising Strong,Nonfiction,21.82,8,3
cb65e49993db9a93,Notes from a Small Island (Notes From a Small Island #1),Nonfiction,40.17,3,1
4c28def39d850cdf,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.3,18,5
a30b270e25489e5c,The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,16,1
09a7b0b566ad6225,Outliers: The Story of Success,Nonfiction,14.16,3,1
acd86a5426e21ca0,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,16,1
